Date,Low,Open,Volume,High,Close,Adjusted Close
15-05-1997,0.096354,0.121875003,1443120000,0.125,0.097916998,0.097916998
16-05-1997,0.085417002,0.098438002,294000000,0.098958001,0.086457998,0.086457998
19-05-1997,0.081249997,0.088021003,122136000,0.088541999,0.085417002,0.085417002
20-05-1997,0.081771001,0.086457998,109344000,0.087499999,0.081771001,0.081771001
21-05-1997,0.068750001,0.081771001,377064000,0.082291998,0.071354002,0.071354002
22-05-1997,0.065624997,0.071874999,235536000,0.072396003,0.069792002,0.069792002
23-05-1997,0.066666998,0.070312999,318744000,0.076041996,0.075000003,0.075000003
27-05-1997,0.072916999,0.075521,173952000,0.082291998,0.079167001,0.079167001
28-05-1997,0.076563001,0.081249997,91488000,0.081771001,0.076563001,0.076563001
29-05-1997,0.073958002,0.077082999,69456000,0.077082999,0.075259998,0.075259998
30-05-1997,0.073958002,0.075000003,51888000,0.075521,0.075000003,0.075000003
2/6/1997,0.075000003,0.075521,11832000,0.076563001,0.075521,0.075521
3/6/1997,0.073958002,0.076563001,23664000,0.076563001,0.073958002,0.073958002
4/6/1997,0.069792002,0.073958002,61608000,0.074478999,0.070832998,0.070832998
5/6/1997,0.068750001,0.070832998,113448000,0.077082999,0.077082999,0.077082999
6/6/1997,0.075521,0.075781003,156144000,0.085417002,0.082813002,0.082813002
9/6/1997,0.082813002,0.082813002,47040000,0.085417002,0.084375001,0.084375001
10/6/1997,0.076563001,0.085417002,109176000,0.085417002,0.079167001,0.079167001
11/6/1997,0.076563001,0.079687998,23760000,0.080208004,0.077082999,0.077082999
12/6/1997,0.077604003,0.079167001,32640000,0.082291998,0.080208004,0.080208004
13-06-1997,0.079167001,0.081249997,13872000,0.081249997,0.079167001,0.079167001
16-06-1997,0.078125,0.080208004,18264000,0.080208004,0.078645997,0.078645997
17-06-1997,0.07474,0.079948001,94128000,0.079948001,0.075259998,0.075259998
18-06-1997,0.075000003,0.076041996,49296000,0.076823004,0.075521,0.075521
19-06-1997,0.075000003,0.075521,20064000,0.076563001,0.075521,0.075521
20-06-1997,0.075000003,0.076563001,67752000,0.077604003,0.076301999,0.076301999
23-06-1997,0.073958002,0.077082999,20952000,0.077082999,0.075000003,0.075000003
24-06-1997,0.073958002,0.075259998,15024000,0.076301999,0.075521,0.075521
25-06-1997,0.074478999,0.076301999,42120000,0.076301999,0.075521,0.075521
26-06-1997,0.075259998,0.076041996,63792000,0.076041996,0.075521,0.075521
27-06-1997,0.073958002,0.075781003,23760000,0.075781003,0.074478999,0.074478999
30-06-1997,0.073958002,0.075521,54936000,0.079948001,0.077082999,0.077082999
1/7/1997,0.075521,0.077082999,25848000,0.077082999,0.075781003,0.075781003
2/7/1997,0.075521,0.075781003,77640000,0.079687998,0.079426996,0.079426996
3/7/1997,0.079687998,0.079948001,251544000,0.095833004,0.095573001,0.095573001
7/7/1997,0.091666996,0.091666996,161064000,0.101042002,0.100000001,0.100000001
8/7/1997,0.102082998,0.102082998,310344000,0.116667002,0.115103997,0.115103997
9/7/1997,0.113541998,0.115103997,165240000,0.119271003,0.116145998,0.116145998
10/7/1997,0.116667002,0.116667002,181032000,0.128646001,0.128124997,0.128124997
11/7/1997,0.110417001,0.126041993,210624000,0.126041993,0.114583001,0.114583001
14-07-1997,0.105728999,0.116145998,92088000,0.116667002,0.106771,0.106771
15-07-1997,0.106771,0.106771,185496000,0.123957999,0.121875003,0.121875003
16-07-1997,0.115103997,0.122396,60480000,0.124739997,0.116667002,0.116667002
17-07-1997,0.107813001,0.117187999,63384000,0.117187999,0.110937998,0.110937998
18-07-1997,0.107813001,0.109375,15600000,0.110937998,0.107813001,0.107813001
21-07-1997,0.107291996,0.108854003,11496000,0.109895997,0.109114997,0.109114997
22-07-1997,0.103124999,0.108332999,31272000,0.109375,0.106771,0.106771
23-07-1997,0.108854003,0.109375,65184000,0.116667002,0.114583001,0.114583001
24-07-1997,0.110937998,0.115103997,24336000,0.115625001,0.113021001,0.113021001
25-07-1997,0.110937998,0.110937998,12408000,0.112499997,0.111458004,0.111458004
28-07-1997,0.110937998,0.111458004,51480000,0.119791999,0.116145998,0.116145998
29-07-1997,0.116667002,0.118229002,96288000,0.125,0.123957999,0.123957999
30-07-1997,0.121353999,0.125,50352000,0.125259995,0.122396,0.122396
31-07-1997,0.116667002,0.121875003,29088000,0.121875003,0.119791999,0.119791999
1/8/1997,0.112499997,0.117187999,71760000,0.120833002,0.120833002,0.120833002
4/8/1997,0.115103997,0.118749999,53424000,0.120572999,0.115625001,0.115625001
5/8/1997,0.107291996,0.116667002,60648000,0.116667002,0.110417001,0.110417001
6/8/1997,0.109375,0.110417001,24864000,0.115625001,0.112499997,0.112499997
7/8/1997,0.106250003,0.112499997,40680000,0.113021001,0.108854003,0.108854003
8/8/1997,0.105208002,0.108332999,44232000,0.115103997,0.114583001,0.114583001
11/8/1997,0.112499997,0.114583001,24792000,0.116667002,0.116406001,0.116406001
12/8/1997,0.109895997,0.114063002,11424000,0.115103997,0.109895997,0.109895997
13-08-1997,0.108332999,0.111458004,11808000,0.111458004,0.109895997,0.109895997
14-08-1997,0.10599,0.108854003,20832000,0.112499997,0.107813001,0.107813001
